Test server;Date/Time;Latency (ms);Dowload Speed (Kb/s);Upload Speed (Kb/s)
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 18:11:12;32.64;4336;456
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 18:21:09;32.42;4046;528
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 18:26:06;34.06;4493;518
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 18:31:07;42.05;3378;514
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 18:36:01;37.01;4661;530
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 18:41:10;35.55;3992;531
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 18:46:11;31.84;3592;499
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 18:51:12;32.79;3634;523
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 18:55:56;32.83;4693;545
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 19:05:54;32.29;3680;539
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 19:11:03;35.75;4876;541
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 19:21:01;32.85;4844;532
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 19:26:03;30.72;4832;546
TVAlmansa S.L. (Almansa) [50.89 km];2015/08/01 19:31:01;33.3;4865;532

